root_category,found_in_category,pageid,title,url,categories,matched_keyword,latitude,longitude,date
Category:History books by century,Category:1st-century history books,1314261,The Jewish War,https://en.wikipedia.org/?curid=1314261,Category:1st-century history books | Category:70s | Category:Ancient Greek military books | Category:First Jewish–Roman War | Category:Jews and Judaism in the Roman Empire | Category:Judaism and warfare | Category:Works by Josephus,Greek,39.080457,21.806332,0
Category:History books by century,Category:1st-century history books,1958369,The Life of Flavius Josephus,https://en.wikipedia.org/?curid=1958369,Category:1st-century history books | Category:Ancient Greek biographical works | Category:Ancient Rome stubs | Category:Autobiographies | Category:European history book stubs | Category:Works by Josephus | Category:Writer book stubs,Greek,39.080457,21.806332,0
Category:History books by century,Category:1st-century history books,73370782,Tyrrhenika,https://en.wikipedia.org/?curid=73370782,Category:1st-century history books | Category:Claudius | Category:Etruscology | Category:Library of Alexandria | Category:Lost books | Category:Roman-era Greek historiography | Category:Works by Roman Emperors,Greek,39.080457,21.806332,0
Category:History books by century,Category:2nd-century history books,900110,Anabasis of Alexander,https://en.wikipedia.org/?curid=900110,Category:2nd-century history books | Category:Ancient Greek military books | Category:Historiography of Alexander the Great | Category:Phoenicia in ancient sources | Category:Ptolemy I Soter | Category:Roman-era Greek historiography | Category:Works by Arrian,Greek,39.080457,21.806332,100
Category:History books by century,Category:2nd-century history books,1661325,Annals (Tacitus),https://en.wikipedia.org/?curid=1661325,Category:2nd-century books in Latin | Category:2nd-century history books | Category:Chronicles | Category:History books about ancient Rome | Category:Works about history in Latin | Category:Works by Tacitus,Rome,41.9029,12.4534,100
Category:History books by century,Category:2nd-century history books,1663237,Histories (Tacitus),https://en.wikipedia.org/?curid=1663237,Category:2nd-century books in Latin | Category:2nd-century history books | Category:History books about ancient Rome | Category:Works about history in Latin | Category:Works by Tacitus | Category:Year of the Four Emperors,Rome,41.9029,12.4534,100
Category:History books by century,Category:2nd-century history books,3780061,Indica (Arrian),https://en.wikipedia.org/?curid=3780061,Category:2nd-century history books | Category:Ancient Greece–Ancient India relations | Category:Ancient Greek military books | Category:History books about India | Category:Roman-era Greek historiography | Category:Texts in Ionic Greek | Category:Works by Arrian,Greece,39.080457,21.806332,100
Category:History books by century,Category:3rd-century history books,56461582,Chilieteris,https://en.wikipedia.org/?curid=56461582,Category:3rd-century history books | Category:Ancient Roman studies | Category:Roman historiography | Category:Texts in Ionic Greek,Greek,39.080457,21.806332,200
Category:History books by century,Category:3rd-century history books,59576902,Daladavamsa,https://en.wikipedia.org/?curid=59576902,Category:3rd-century history books | Category:Buddhist text stubs | Category:History books about Sri Lanka | Category:Lost religious texts | Category:Sinhala Buddhist texts | Category:Sri Lankan Buddhist texts | Category:Sri Lankan chronicles | Category:Sri Lankan history stubs | Category:Theravada stubs,Sri Lanka,7.861949,80.683752,200
Category:History books by century,Category:3rd-century history books,36811257,Records of Heroes,https://en.wikipedia.org/?curid=36811257,Category:3rd-century history books | Category:Chinese history texts | Category:History books about the Han dynasty,Chinese,36.79871,98.769583,200
Category:History books by century,Category:3rd-century history books,5608162,Weilüe,https://en.wikipedia.org/?curid=5608162,Category:3rd-century history books | Category:Chinese history texts | Category:Three Kingdoms literature,Chinese,36.79871,98.769583,200
Category:History books by century,Category:4th-century history books,36792732,Annals of the Later Han,https://en.wikipedia.org/?curid=36792732,Category:4th-century history books | Category:Chinese history book stubs | Category:Chinese history texts | Category:History books about the Han dynasty,Chinese,36.79871,98.769583,300
Category:History books by century,Category:4th-century history books,1932547,Chronicon (Eusebius),https://en.wikipedia.org/?curid=1932547,Category:4th-century Christian texts | Category:4th-century history books | Category:Ancient Olympic Games | Category:Chronicles containing universal histories in Greek | Category:Chronicles in Koine Greek | Category:Patristic historical writings | Category:Works by Eusebius of Caesarea,Greek,39.080457,21.806332,300
Category:History books by century,Category:4th-century history books,1932161,Chronicon (Jerome),https://en.wikipedia.org/?curid=1932161,Category:4th-century Christian texts | Category:4th-century books in Latin | Category:4th-century history books | Category:Chronicles | Category:Classical Latin literature | Category:Greek literature (post-classical) | Category:Hellenistic historiography | Category:Patristic historical writings | Category:References on Greek mythology | Category:Works by Jerome,Greek,39.080457,21.806332,300
Category:History books by century,Category:4th-century history books,7433466,Chronograph of 354,https://en.wikipedia.org/?curid=7433466,Category:354 | Category:4th-century history books | Category:4th-century illuminated manuscripts | Category:Culture of ancient Rome | Category:Early Christian art | Category:Late Roman Empire art | Category:Specific calendars,Rome,41.9029,12.4534,300
Category:History books by century,Category:4th-century history books,4741592,Dīpavaṃsa,https://en.wikipedia.org/?curid=4741592,Category:4th-century history books | Category:Anuradhapura period | Category:History of Buddhism in Sri Lanka | Category:Pali Buddhist texts | Category:Sri Lankan Buddhist texts | Category:Sri Lankan chronicles | Category:Texts about the history of Buddhism,Sri Lanka,7.861949,80.683752,300
Category:History books by century,Category:4th-century history books,16893191,Ecclesiastical History (Eusebius),https://en.wikipedia.org/?curid=16893191,Category:4th-century Christian texts | Category:4th-century history books | Category:Ancient Greek history books | Category:History of Christianity texts | Category:Patristic historical writings | Category:Works by Eusebius of Caesarea,Greek,39.080457,21.806332,300
Category:History books by century,Category:4th-century history books,15490230,Enmannsche Kaisergeschichte,https://en.wikipedia.org/?curid=15490230,Category:1884 in Germany | Category:1884 in science | Category:4th-century documents | Category:4th-century history books | Category:Ancient Rome stubs | Category:Classical studies stubs | Category:Hypothetical documents | Category:Roman Empire in late antiquity,Germany,51.431228,10.432351,300
Category:History books by century,Category:4th-century history books,53552374,On Weights and Measures,https://en.wikipedia.org/?curid=53552374,Category:4th-century books | Category:4th-century history books | Category:Christian apologetic works | Category:Chronicles containing universal histories in Greek | Category:Chronicles in Koine Greek | Category:History of the Levant | Category:Holy Land during Byzantine rule | Category:Human-based units of measurement | Category:Obsolete units of measurement | Category:Regnal lists | Category:Texts in Syriac | Category:Textual scholarship | Category:Treatises | Category:Units of volume | Category:Works by Epiphanius of Salamis,Greek,39.080457,21.806332,300
Category:History books by century,Category:4th-century history books,32036020,Onomasticon (Eusebius),https://en.wikipedia.org/?curid=32036020,Category:4th-century Christian texts | Category:4th-century history books | Category:Ancient Greek geographical works | Category:Ancient Jewish history | Category:Ancient sites in Israel | Category:Geography of Israel | Category:Geography of Palestine (region) | Category:Greek-language books | Category:Historical geography | Category:History of the Levant | Category:Holy Land during Byzantine rule | Category:Land of Israel | Category:New Testament places | Category:Old Testament places | Category:Oral tradition | Category:Textual scholarship | Category:Toponymy | Category:Works by Eusebius of Caesarea,Greek,39.080457,21.806332,300
Category:History books by century,Category:5th-century history books,39115898,Annotated Records of the Three Kingdoms,https://en.wikipedia.org/?curid=39115898,Category:5th-century history books | Category:Chinese history texts | Category:History books about the Three Kingdoms,Chinese,36.79871,98.769583,400
Category:History books by century,Category:5th-century history books,4398873,Book of Song,https://en.wikipedia.org/?curid=4398873,Category:5th-century Chinese books | Category:5th-century history books | Category:Chinese history book stubs | Category:History books about the Northern and Southern dynasties | Category:Liu Song dynasty | Category:Northern and Southern dynasties literature | Category:Sixteen Kingdoms | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,400
Category:History books by century,Category:5th-century history books,1614126,Book of the Later Han,https://en.wikipedia.org/?curid=1614126,Category:5th-century Chinese books | Category:5th-century history books | Category:History books about the Han dynasty | Category:Liu Song dynasty | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,400
Category:History books by century,Category:5th-century history books,69359129,Buzandaran Patmutiwnk,https://en.wikipedia.org/?curid=69359129,Category:5th-century history books | Category:History books about Armenia,Armenia,39.952497,45.063667,400
Category:History books by century,Category:5th-century history books,981122,Mahāvaṃsa,https://en.wikipedia.org/?curid=981122,Category:5th-century history books | Category:Anuradhapura period | Category:Buddhist poetry | Category:History of Buddhism in Sri Lanka | Category:Memory of the World Register in Sri Lanka | Category:Pali Buddhist texts | Category:Sri Lankan Buddhist texts | Category:Sri Lankan chronicles | Category:Texts about the history of Buddhism,Sri Lanka,7.861949,80.683752,400
Category:History books by century,Category:6th-century history books,26079216,Anonymus Valesianus,https://en.wikipedia.org/?curid=26079216,Category:1636 books | Category:4th-century books in Latin | Category:4th-century writers in Latin | Category:6th-century Italian writers | Category:6th-century books in Latin | Category:6th-century history books | Category:6th-century writers in Latin | Category:9th-century manuscripts | Category:Constantine the Great | Category:Italian chronicles | Category:Latin historians | Category:Ostrogothic Kingdom | Category:Theodoric the Great | Category:Works of unknown authorship,Italian,42.558217,12.631183,1636
Category:History books by century,Category:6th-century history books,5514823,Book of Qi,https://en.wikipedia.org/?curid=5514823,Category:6th-century Chinese books | Category:6th-century history books | Category:Chinese history book stubs | Category:History books about the Northern and Southern dynasties | Category:Northern and Southern dynasties literature | Category:Southern Qi | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,500
Category:History books by century,Category:6th-century history books,2176704,Book of Wei,https://en.wikipedia.org/?curid=2176704,Category:6th-century Chinese books | Category:6th-century history books | Category:History books about the Northern and Southern dynasties | Category:Northern Wei | Category:Northern and Southern dynasties literature | Category:Sixteen Kingdoms | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,500
Category:History books by century,Category:6th-century history books,4398570,De Excidio et Conquestu Britanniae,https://en.wikipedia.org/?curid=4398570,Category:5th century in England | Category:6th century in England | Category:6th-century books in Latin | Category:6th-century history books | Category:Anglo-Saxon historiography | Category:Arthurian literature in Latin | Category:Medieval historical texts in Latin | Category:Sub-Roman Britain,England,53.13,-1.38,500
Category:History books by century,Category:6th-century history books,70871788,Euthymiac History,https://en.wikipedia.org/?curid=70871788,Category:6th-century Christian texts | Category:6th-century history books | Category:7th-century Christian texts | Category:7th-century history books | Category:8th-century Christian texts | Category:8th-century history books | Category:Assumption of Mary | Category:Greek-language books | Category:History books about Christianity | Category:Lost Christian texts | Category:Lost books,Greek,39.080457,21.806332,500
Category:History books by century,Category:6th-century history books,5141193,Romana (Jordanes),https://en.wikipedia.org/?curid=5141193,Category:6th-century books in Latin | Category:6th-century history books | Category:Byzantine literature | Category:Medieval historical texts in Latin,Byzantine,41.0082,28.9784,500
Category:History books by century,Category:6th-century history books,11595620,Spring and Autumn Annals of the Sixteen Kingdoms,https://en.wikipedia.org/?curid=11595620,Category:6th-century history books | Category:Chinese history book stubs | Category:Chinese history texts | Category:Historiography of China | Category:History books about the Jin dynasty (266–420) | Category:Sixteen Kingdoms,China,36.79871,98.769583,500
Category:History books by century,Category:7th-century history books,7627860,Book of Chen,https://en.wikipedia.org/?curid=7627860,Category:7th-century Chinese books | Category:7th-century history books | Category:Chen dynasty | Category:History books about the Northern and Southern dynasties | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,3280825,Book of Jin,https://en.wikipedia.org/?curid=3280825,Category:7th-century Chinese books | Category:7th-century history books | Category:History books about the Jin dynasty (266–420) | Category:Sixteen Kingdoms | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,1812048,Book of Liang,https://en.wikipedia.org/?curid=1812048,Category:7th-century Chinese books | Category:7th-century history books | Category:History books about the Northern and Southern dynasties | Category:Liang dynasty | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,7251850,Book of Northern Qi,https://en.wikipedia.org/?curid=7251850,Category:7th-century Chinese books | Category:7th-century history books | Category:Chinese history book stubs | Category:History books about the Northern and Southern dynasties | Category:Northern Qi | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,4184143,Book of Sui,https://en.wikipedia.org/?curid=4184143,Category:7th-century Chinese books | Category:7th-century history books | Category:History books about the Sui dynasty | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,7627815,Book of Zhou,https://en.wikipedia.org/?curid=7627815,Category:7th-century Chinese books | Category:7th-century history books | Category:Chinese history book stubs | Category:History books about the Northern and Southern dynasties | Category:Northern Zhou | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,1906640,Chronicon Paschale,https://en.wikipedia.org/?curid=1906640,Category:7th-century history books | Category:Byzantine literature | Category:Chronicles containing universal histories in Greek | Category:Medieval Greek chronicles about the Byzantine Empire,Greek,39.080457,21.806332,600
Category:History books by century,Category:7th-century history books,5169117,History of the Northern Dynasties,https://en.wikipedia.org/?curid=5169117,Category:7th-century Chinese books | Category:7th-century history books | Category:Chinese history book stubs | Category:History books about the Northern and Southern dynasties | Category:History books about the Sui dynasty | Category:Northern Qi | Category:Northern Wei | Category:Northern Zhou | Category:Sixteen Kingdoms | Category:Sui dynasty | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,5178571,History of the Southern Dynasties,https://en.wikipedia.org/?curid=5178571,Category:7th-century Chinese books | Category:7th-century history books | Category:Chen dynasty | Category:Chinese history book stubs | Category:History books about the Northern and Southern dynasties | Category:Liang dynasty | Category:Liu Song dynasty | Category:Southern Qi | Category:Tang dynasty literature | Category:Twenty-Four Histories,Chinese,36.79871,98.769583,600
Category:History books by century,Category:7th-century history books,21127189,Iki no Hakatoko no Sho,https://en.wikipedia.org/?curid=21127189,Category:7th-century Japanese books | Category:7th-century history books | Category:Asuka period | Category:Old Japanese texts,Japanese,36.09343,138.348867,600
Category:History books by century,Category:7th-century history books,14610496,Kokki,https://en.wikipedia.org/?curid=14610496,Category:7th-century Japanese books | Category:7th-century history books | Category:Asuka period | Category:Lost books | Category:Old Japanese texts,Japanese,36.09343,138.348867,600
Category:History books by century,Category:7th-century history books,15056818,Kyūji,https://en.wikipedia.org/?curid=15056818,Category:7th-century Japanese books | Category:7th-century history books | Category:Asuka period | Category:Old Japanese texts | Category:Shinto texts,Japanese,36.09343,138.348867,600
Category:History books by century,Category:7th-century history books,20935619,Mah farvardin Ruz khordad,https://en.wikipedia.org/?curid=20935619,Category:7th century in Iran | Category:7th-century history books | Category:History books about Iran | Category:Iranian history stubs | Category:Middle Eastern history book stubs | Category:Middle Persian literature,Iran,32.326038,54.118245,600
Category:History books by century,Category:7th-century history books,14640137,Teiki,https://en.wikipedia.org/?curid=14640137,Category:7th-century Japanese books | Category:7th-century history books | Category:Asuka period | Category:Old Japanese texts,Japanese,36.09343,138.348867,600
Category:History books by century,Category:7th-century history books,14716355,Tennōki,https://en.wikipedia.org/?curid=14716355,Category:7th-century Japanese books | Category:7th-century history books | Category:Asuka period | Category:Lost books | Category:Old Japanese texts,Japanese,36.09343,138.348867,600
Category:History books by century,Category:8th-century history books,3416803,Chach Nama,https://en.wikipedia.org/?curid=3416803,Category:8th-century Arabic-language books | Category:8th-century Indian books | Category:8th-century history books | Category:Chach Nama | Category:Historiography of India | Category:History of Sindh | Category:Medieval Hinduism | Category:Military history of the Umayyad Caliphate | Category:Persian literature | Category:Sindhology,India,21.872205,79.179059,700
Category:History books by century,Category:8th-century history books,8726246,Chronicle of 754,https://en.wikipedia.org/?curid=8726246,Category:754 | Category:8th century in al-Andalus | Category:8th-century books in Latin | Category:8th-century history books | Category:Christian texts of the medieval Islamic world | Category:Christianity in al-Andalus | Category:Italian chronicles | Category:Mozarabs,Italian,42.558217,12.631183,700
Category:History books by century,Category:8th-century history books,956897,Ecclesiastical History of the English People,https://en.wikipedia.org/?curid=956897,Category:8th-century Christian texts | Category:8th-century books in Latin | Category:8th-century history books | Category:Anglo-Saxon historiography | Category:History of Christianity texts | Category:Medieval historical texts in Latin | Category:Sources on Germanic paganism | Category:Texts of Anglo-Saxon England in Latin | Category:Works by Bede,England,53.13,-1.38,700
Category:History books by century,Category:8th-century history books,11615475,Jingxingji,https://en.wikipedia.org/?curid=11615475,Category:8th-century Chinese books | Category:8th-century history books | Category:Chinese history book stubs | Category:Chinese history texts | Category:Tang dynasty literature,Chinese,36.79871,98.769583,700
Category:History books by century,Category:8th-century history books,316307,Kojiki,https://en.wikipedia.org/?curid=316307,Category:710s in Japan | Category:711 | Category:712 | Category:8th-century history books | Category:Asuka period | Category:History books about Japan | Category:Japanese literature in Classical Chinese | Category:Japanese mythology | Category:Kojiki | Category:Nara-period works | Category:Old Japanese texts | Category:Shinto texts,Chinese,36.79871,98.769583,700
